source	path	line	matched_categories	excerpt
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/compositionlevelrule/CompositionLevelNetworkDeliveryRule.java	38	trace-or-step	Transition<AbstractSystemState> transitions = new Transition<AbstractSystemState>(); for(int cnt = 0; cnt < deliveredMessages.size(); cnt++) {
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/networklevelrule/NetworkReceiveMessageRule.java	8	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.RuleIsDisabledException; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.stereotype.Component;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/networklevelrule/NetworkReceiveMessageRule.java	15	trace-or-step	@Override public Transition<AbstractNetworkState> applyRule(AbstractNetworkState base, AbstractNetworkState state, Object... additional) throws RuleIsDisabledException { MessageAction action = (MessageAction)additional[0];
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/networklevelrule/NetworkReceiveMessageRule.java	19	trace-or-step	state.addMessage(message); return Transition.createDeterministicTransition(action, state); }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	33	priority	protected int id; protected int priority; protected ActorScope scope;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	40	priority	this.id = id; this.priority = MIN_PRIORITY; scope = getNewActorScope();
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	53	priority	public int getPriority() { return priority; }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	56	priority	public void setPriority(int priority) { this.priority = priority;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	57	priority	public void setPriority(int priority) { this.priority = priority; }
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	175	priority	result = prime * result + id; result = prime * result + priority; result = prime * result + ((scope == null) ? 0 : scope.hashCode());
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/abstractrebeca/sos/state/AbstractActorState.java	203	priority	return false; if (priority != other.priority) return false;
official-modelchecker	src/main/java/org/rebecalang/transparentactormodelchecker/corerebeca/TransparentActorCoreRebecaCoarseGrainedDFSModelChecker.java	28	trace-or-step	import org.rebecalang.transparentactormodelchecker.transitionsystem.RuleIsDisabledException; import org.rebecalang.transparentactormodelchecker.transitionsystem.Transition; import org.springframework.beans.factory.annotation.Autowired;
