path	line	categories	source_line	context
frontend/java-bridge/RebecaV0JsonExporter.java	240	annotation-access	"""constructor annotations"""	"requireEmpty( constructor.getAnnotations(), ""constructor annotations"" ); MsgsrvDeclaration messageServer ="
frontend/java-bridge/RebecaV0JsonExporter.java	255	annotation-access	messageServer.getAnnotations(),	"); requireEmpty( messageServer.getAnnotations(), ""message-server annotations"" );"
frontend/java-bridge/RebecaV0JsonExporter.java	256	annotation-access	"""message-server annotations"""	"requireEmpty( messageServer.getAnnotations(), ""message-server annotations"" ); String messageServerName ="
frontend/java-bridge/RebecaV0JsonExporter.java	275		"""main actor"""	"requireOne( mainDeclaration .getMainRebecDefinition(), ""main actor"" ); requireEmpty("
frontend/java-bridge/RebecaV0JsonExporter.java	279	annotation-access	actor.getAnnotations(),	"); requireEmpty( actor.getAnnotations(), ""main-actor annotations"" );"
frontend/java-bridge/RebecaV0JsonExporter.java	280	annotation-access	"""main-actor annotations"""	"requireEmpty( actor.getAnnotations(), ""main-actor annotations"" ); requireEmpty("
frontend/java-bridge/RebecaV0JsonExporter.java	296		"""main actor"""	"String actorName = requireName( actor.getName(), ""main actor"" ); if (actor.getType() == null) {"
frontend/java-bridge/RebecaV0JsonExporter.java	301		"""main actor without a class type"""	"if (actor.getType() == null) { throw unsupported( ""main actor without a class type"" ); }"
frontend/java-bridge/RebecaV0JsonExporter.java	308		"""main actor class"""	"String actorClass = requireName( actor.getType().getTypeName(), ""main actor class"" ); if (!className.equals(actorClass)) {"
frontend/java-bridge/RebecaV0JsonExporter.java	313		"""the main actor must instantiate the sole reactive class"""	"if (!className.equals(actorClass)) { throw unsupported( ""the main actor must instantiate the sole reactive class"" ); }"
frontend/java-bridge/RebecaV0JsonExporter.java	366	annotation-access	reactiveClass.getAnnotations(),	"ReactiveClassDeclaration reactiveClass ) { requireEmpty( reactiveClass.getAnnotations(), ""reactive-class annotations"" );"
frontend/java-bridge/RebecaV0JsonExporter.java	367	annotation-access	"""reactive-class annotations"""	") { requireEmpty( reactiveClass.getAnnotations(), ""reactive-class annotations"" ); requireEmpty("
